[2021-08-25 15:24:03,734]{29424}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:33:04,985]{30948}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=0
[2021-08-25 16:33:05,981]{30948}[INFO ] [0] su=1, se=1, [sn1=4, sn2=0, sn3=0, sn4=0], r=11
[2021-08-25 16:33:06,974]{30948}[INFO ] [0] su=0, se=1, [sn1=0, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:33:07,975]{30948}[INFO ] [0] su=0, se=1, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:33:15,973]{30948}[INFO ] [0] su=0, se=0, [sn1=1, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:33:16,975]{30948}[INFO ] [0] su=0, se=1, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:33:35,982]{30948}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:33:41,980]{30948}[INFO ] [0] su=0, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:34:24,979]{30948}[INFO ] [0] su=2, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:34:35,974]{30948}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:34:38,985]{30948}[INFO ] [0] su=0, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:35:12,937]{13596}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=0
[2021-08-25 16:35:13,933]{13596}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:35:43,931]{13596}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:35:44,935]{13596}[INFO ] [0] su=0, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:37:03,479]{27204}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=0
[2021-08-25 16:37:04,455]{27204}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:37:16,463]{27204}[INFO ] [0] su=0, se=0, [sn1=1, sn2=0, sn3=0, sn4=0], r=2
[2021-08-25 16:37:17,465]{27204}[INFO ] [0] su=0, se=1, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
[2021-08-25 16:37:34,456]{27204}[INFO ] [0] su=1, se=0, [sn1=0, sn2=0, sn3=0, sn4=0], r=1
